latitude,longitude
25.39668716216216,80.09122435100272
23.234524999999998,75.72185226626819
23.234524999999998,72.7179089580132
25.9372277027027,86.91836823340041
26.47776824324324,93.1993406052063
24.85614662162162,81.72973888277816
27.288579054054054,81.72973888277816
27.288579054054054,78.72579557452318
21.072362837837836,78.99888132981908
14.04533581081081,79.271967085115
28.63993040540541,79.5450528404109
26.207497972972973,90.19539729695131
26.207497972972973,87.19145398869632
25.126416891891893,85.00676794632906
25.126416891891893,82.00282463807407
8.369660135135135,77.36036679804364
26.47776824324324,79.81813859570681
26.47776824324324,82.8220819039618
15.937227702702703,80.91048161689044
28.910200675675675,79.81813859570681
14.31560608108108,80.09122435100272
13.234525,77.90653830863545
15.666957432432433,77.90653830863545
27.55884932432432,77.63345255333955
18.099389864864865,77.90653830863545
26.748038513513514,80.63739586159454
19.450741216216215,72.7179089580132
28.09938986486486,78.45270981922727
26.207497972972973,92.38008333931857
14.856146621621622,78.99888132981908
17.288579054054054,78.99888132981908
25.9372277027027,84.73368219103315
18.639930405405405,73.81025197919683
21.34263310810811,82.00282463807407
29.72101148648649,79.5450528404109
26.207497972972973,82.00282463807407
26.207497972972973,85.00676794632906
25.126416891891893,82.8220819039618
27.55884932432432,79.81813859570681
17.558849324324324,76.81419528745182
26.748038513513514,91.83391182872676
12.96425472972973,80.09122435100272
41.07236283783784,17.008414877647954
17.829119594594594,80.09122435100272
23.50479527027027,89.9223115416554
22.693984459459458,72.44482320271729
16.748038513513514,77.90653830863545
26.47776824324324,85.82602521221679
26.207497972972973,77.63345255333955
19.180470945945945,77.90653830863545
26.748038513513514,78.45270981922727
26.748038513513514,81.45665312748226
29.18047094594595,78.45270981922727
22.153443918918917,81.72973888277816
25.666957432432433,86.91836823340041
23.50479527027027,79.5450528404109
14.04533581081081,79.81813859570681
27.01830878378378,78.72579557452318
27.01830878378378,84.73368219103315
27.01830878378378,81.72973888277816
28.369660135135135,79.5450528404109
24.85614662162162,85.00676794632906
23.775065540540538,79.81813859570681
12.69398445945946,77.63345255333955
26.47776824324324,91.01465456283904
26.47776824324324,94.01859787109403
17.558849324324324,77.63345255333955
14.04533581081081,80.09122435100272
28.63993040540541,77.36036679804364
29.991281756756756,78.17962406393136
24.045335810810812,80.63739586159454
26.47776824324324,80.63739586159454
25.39668716216216,81.45665312748226
27.829119594594594,78.45270981922727
18.369660135135135,78.72579557452318
20.261552027027026,75.44876651097228
24.31560608108108,83.91442492514543
24.85614662162162,93.1993406052063
25.666957432432433,81.72973888277816
25.666957432432433,84.73368219103315
25.9372277027027,92.92625484991039
17.558849324324324,82.8220819039618
21.072362837837836,82.00282463807407
22.42371418918919,82.8220819039618
11.342633108108107,77.63345255333955
17.288579054054054,76.81419528745182
26.47776824324324,91.83391182872676
25.9372277027027,82.54899614866589
25.39668716216216,86.6452824781045
12.69398445945946,80.09122435100272
27.288579054054054,77.36036679804364
27.288579054054054,80.36431010629863
26.207497972972973,78.17962406393136
26.207497972972973,85.82602521221679
26.748038513513514,92.10699758402266
14.585876351351352,78.72579557452318
27.55884932432432,80.63739586159454
26.47776824324324,81.45665312748226
17.018308783783784,78.72579557452318
26.47776824324324,78.45270981922727
24.85614662162162,66.98310809679913
18.369660135135135,79.5450528404109
24.31560608108108,78.72579557452318
24.585876351351352,92.92625484991039
25.9372277027027,87.73762549928814
25.9372277027027,90.74156880754313
25.9372277027027,93.74551211579812
24.85614662162162,85.55293945692088
8.639930405405405,76.81419528745182
11.072362837837836,76.81419528745182
28.09938986486486,77.08728104274773
22.153443918918917,82.54899614866589
26.207497972972973,91.01465456283904
23.50479527027027,80.36431010629863
27.01830878378378,82.54899614866589
16.477768243243244,80.63739586159454
28.369660135135135,77.36036679804364
27.288579054054054,78.17962406393136
12.69398445945946,77.90653830863545
11.612903378378379,75.72185226626819
29.72101148648649,78.17962406393136
10.802092567567566,78.72579557452318
23.775065540540538,80.63739586159454
26.207497972972973,80.63739586159454
25.126416891891893,81.45665312748226
27.55884932432432,78.45270981922727
27.55884932432432,81.45665312748226
17.018308783783784,79.5450528404109
26.748038513513514,84.46059643573724
19.991281756756756,75.44876651097228
26.748038513513514,90.46848305224722
12.42371418918919,79.81813859570681
14.856146621621622,79.81813859570681
25.9372277027027,85.55293945692088
25.39668716216216,82.27591039336998
18.099389864864865,74.35642348978865
8.639930405405405,77.63345255333955
27.829119594594594,79.271967085115
11.072362837837836,77.63345255333955
23.234524999999998,82.54899614866589
26.207497972972973,91.83391182872676
26.207497972972973,88.82996852047177
25.666957432432433,82.54899614866589
25.126416891891893,86.6452824781045
27.01830878378378,80.36431010629863
17.558849324324324,80.63739586159454
27.01830878378378,83.3682534145536
25.9372277027027,78.17962406393136
28.369660135135135,78.17962406393136
21.34263310810811,81.45665312748226
23.775065540540538,78.45270981922727
14.31560608108108,78.72579557452318
22.693984459459458,76.26802377686
26.207497972972973,81.45665312748226
26.47776824324324,92.65316909461448
25.39668716216216,87.46453974399223
18.099389864864865,79.5450528404109
27.288579054054054,81.18356737218635
26.748038513513514,85.27985370162497
28.63993040540541,78.99888132981908
26.748038513513514,92.92625484991039
25.666957432432433,87.73762549928814
24.045335810810812,79.271967085115
24.585876351351352,85.55293945692088
8.369660135135135,76.81419528745182
26.47776824324324,82.27591039336998
28.910200675675675,79.271967085115
21.88317364864865,82.54899614866589
19.721011486486486,75.17568075567637
23.234524999999998,77.36036679804364
23.234524999999998,80.36431010629863
12.69398445945946,78.45270981922727
21.072362837837836,72.9909947133091
25.9372277027027,91.56082607343086
15.126416891891893,78.45270981922727
27.01830878378378,78.17962406393136
17.558849324324324,78.45270981922727
29.450741216216215,78.17962406393136
21.34263310810811,76.26802377686
30.531822297297296,77.90653830863545
25.126416891891893,92.65316909461448
26.47776824324324,87.46453974399223
26.47776824324324,90.46848305224722
25.9372277027027,81.18356737218635
25.39668716216216,85.27985370162497
19.721011486486486,75.44876651097228
26.748038513513514,90.74156880754313
25.666957432432433,85.55293945692088
25.126416891891893,82.27591039336998
27.55884932432432,79.271967085115
8.369660135135135,77.63345255333955
17.018308783783784,80.36431010629863
15.937227702702703,78.17962406393136
28.910200675675675,77.08728104274773
19.450741216216215,77.36036679804364
10.261552027027026,76.26802377686
25.9372277027027,86.3721967228086
27.829119594594594,80.09122435100272
21.072362837837836,81.45665312748226
29.18047094594595,77.90653830863545
14.04533581081081,78.72579557452318
26.207497972972973,92.65316909461448
25.126416891891893,84.46059643573724
23.50479527027027,75.9949380215641
23.50479527027027,78.99888132981908
27.01830878378378,81.18356737218635
26.47776824324324,85.27985370162497
28.369660135135135,78.99888132981908
23.775065540540538,79.271967085115
13.234525,80.36431010629863
13.234525,77.36036679804364
26.207497972972973,82.27591039336998
15.666957432432433,80.36431010629863
17.018308783783784,78.17962406393136
28.63993040540541,76.81419528745182
9.991281756756756,78.45270981922727
28.09938986486486,80.91048161689044
14.856146621621622,78.45270981922727
17.288579054054054,78.45270981922727
26.47776824324324,80.09122435100272
28.910200675675675,80.09122435100272
27.829119594594594,77.90653830863545
26.748038513513514,75.72185226626819
30.26155202702703,77.90653830863545
24.85614662162162,92.65316909461448
22.153443918918917,75.9949380215641
26.207497972972973,90.46848305224722
26.207497972972973,87.46453974399223
25.126416891891893,85.27985370162497
15.126416891891893,79.271967085115
27.01830878378378,75.9949380215641
26.748038513513514,91.28774031813495
29.450741216216215,78.99888132981908
18.910200675675675,77.08728104274773
13.234525,78.17962406393136
